gene_id,gene_symbol,gene_biotype,chr,start,end,strand,Sample1_dedup,Sample2_dedup,Sample3_dedup,Sample4_dedup,Sample5_dedup,Sample6_dedup,Sample7_dedup,Sample8_dedup,Sample9_dedup,Sample10_dedup
ENSG00000228397,Wwox,lncRNA,1,22023851,22026215,-,262,347,406,499,417,792,406,504,289,293
ENSG00000218510,Slbp,lncRNA,1,22024558,22031223,+,596,857,891,1645,967,2030,1366,1563,683,921
ENSG00000289694,Ghrhr,protein_coding,1,22025142,22092943,+,1,1,1,4,3,4,9,4,0,1
ENSG00000070831,Aqp1,protein_coding,1,22052627,22101360,+,319,556,554,1303,904,4765,816,898,732,927
ENSG00000230068,Arid3b,lncRNA,1,22059197,22064199,+,127,173,187,311,222,359,102,119,117,113
ENSG00000285752,Cnn2,lncRNA,1,22028317,22052927,-,1897,2105,2174,3443,2362,6428,619,675,1649,1799
ENSG00000285794,Polr2e,transcribed_processed_pseudogene,1,22030527,22030748,+,1886,1329,2167,2549,1774,4802,2155,2148,1472,2249
ENSG00000271428,Abca13,processed_pseudogene,1,22068340,22068827,-,4,1,4,5,5,25,7,4,0,5
ENSG00000173372,Myo9b,protein_coding,1,22635057,22639681,+,1023,1988,1285,3410,2383,3731,1072,1469,1243,1146
ENSG00000289692,Hdac9,protein_coding,1,22636506,22644067,+,51,134,84,153,190,463,18,26,102,79
ENSG00000159189,Ly9,protein_coding,1,22642558,22648110,+,60,137,80,221,181,261,18,19,99,54
ENSG00000308848,Cd244a,lncRNA,1,22648027,22663254,-,491,673,419,770,707,755,112,121,407,173
ENSG00000173369,Adgre1,protein_coding,1,22652713,22661637,+,455,762,589,1435,865,2708,64,92,646,520
ENSG00000070886,Mtfp1,protein_coding,1,22563489,22603595,+,74,117,149,231,120,298,250,308,117,178
ENSG00000184677,Rab23,protein_coding,1,22428838,22531157,+,367,585,443,875,531,893,352,418,360,418
ENSG00000302246,Rab11a,lncRNA,1,22453935,22454613,-,3244,2343,3001,3132,2488,5922,2193,2153,2465,2775
ENSG00000237200,Eif2b2,lncRNA,1,22517474,22519708,+,1331,1408,1647,2029,1394,3072,1269,1518,1261,1443
ENSG00000227868,Dlst,protein_coding,1,23010834,23019100,-,2352,3775,3372,5116,3457,7519,3672,4244,2713,2891
ENSG00000133216,Pgf,protein_coding,1,22710839,22921500,+,292,301,550,295,390,824,55,40,206,189
ENSG00000265422,Ulk2,miRNA,1,22719517,22719598,+,533,958,487,1251,1014,1738,275,385,603,405
ENSG00000225952,Ccl24,lncRNA,1,22835713,22836849,-,81,62,21,56,18,52,10,13,26,32
ENSG00000264014,Dgkq,miRNA,1,22863159,22863226,-,5,320,90,483,397,424,157,298,124,84
ENSG00000215381,Grap,processed_pseudogene,1,23244765,23245224,+,289,196,166,312,171,335,76,80,174,144
ENSG00000179546,Chmp2b,protein_coding,1,23190178,23217547,-,1987,2110,2551,3080,2306,5780,1918,1974,2095,2273
ENSG00000304077,Plod3,lncRNA,1,23201152,23216626,+,1745,2234,2151,3278,1863,5886,1149,1290,1507,1894
ENSG00000004487,Ap1s1,protein_coding,1,23019395,23083693,+,2604,2727,3043,3899,2798,6504,3103,3410,2613,3232
ENSG00000240553,Mapk13,lncRNA,1,23020147,23088058,-,1862,2169,2453,2651,1522,6001,6329,6743,1862,3494
ENSG00000263793,Srpk1,miRNA,1,23044305,23044372,+,1874,2399,2045,3499,2547,4699,2456,2723,1614,1966
ENSG00000266802,Lbr,miRNA,1,23057858,23057934,-,214,1047,668,1640,1018,2263,1248,1751,693,657
ENSG00000169641,Crabp2,protein_coding,1,23084030,23178152,-,4,0,5,1,5,17,8,3,5,7
ENSG00000229010,Nes,processed_pseudogene,1,23140325,23141142,+,260,589,388,719,815,1077,214,285,359,263
ENSG00000206935,Bcan,snRNA,1,23162704,23162810,+,0,1,0,2,1,11,0,3,0,1
ENSG00000252578,Prcc,snRNA,1,23163953,23164053,+,1357,1522,1648,2352,1538,4030,1421,1504,1517,1652
ENSG00000293565,Rrnad1,protein_coding,1,23094326,23094376,-,371,366,431,697,484,876,482,471,210,354
ENSG00000289014,Hdgf,lncRNA,1,23166781,23167889,-,7201,7034,8623,10680,6944,19278,10937,12571,6942,9211
ENSG00000261326,Thop1,lncRNA,1,23281307,23287488,-,1008,1863,1612,2411,1643,3651,1971,2259,1253,1540
ENSG00000125944,Apba3,protein_coding,1,23303771,23344358,-,603,801,1006,1192,886,1686,471,586,520,766
ENSG00000284726,Matk,lncRNA,1,23297797,23302866,+,73,97,89,181,104,125,50,50,64,62
ENSG00000125945,Pias4,protein_coding,1,23359448,23369836,-,1772,1274,1625,1802,1332,2088,989,1150,1152,1336
ENSG00000249087,Map2k1,lncRNA,1,23368485,23371858,+,1337,2502,2161,3396,2376,4663,1321,1544,1736,2086
ENSG00000201405,Sgta,misc_RNA,1,23370254,23370346,+,1707,2427,2381,3315,2221,5016,2163,2538,2025,2305
ENSG00000204219,Tmem242,protein_coding,1,23370591,23425169,-,1367,534,1178,1300,995,2493,1138,1204,1043,1242
ENSG00000232482,Dtx2,processed_pseudogene,1,23410832,23412146,+,374,458,484,649,427,1076,308,405,387,447
ENSG00000295946,Hspb1,lncRNA,1,23424866,23429259,+,4515,2461,4235,3540,2844,7906,453,443,1870,2254
ENSG00000088280,Rasa4,protein_coding,1,23428561,23484637,-,158,313,309,705,281,742,332,453,237,476
ENSG00000271420,Syt5,lncRNA,1,23378380,23379029,-,224,134,214,198,87,218,71,78,124,109
ENSG00000307540,Hnrnpa2b1,lncRNA,1,23521924,23574144,+,18213,21921,21651,30827,24016,42903,21474,23753,18283,21718
ENSG00000307580,Fxyd4,lncRNA,1,23539840,23554462,+,186,124,176,123,51,734,274,262,132,244
ENSG00000117318,Ccdc130,protein_coding,1,23557917,23559883,-,236,246,311,365,290,650,180,244,174,255
ENSG00000307609,Mri1,lncRNA,1,23562512,23562873,+,740,827,1188,1420,988,2220,1263,1405,855,1097
ENSG00000285802,Prkacb,lncRNA,1,23562670,23593621,-,654,974,790,1573,967,2294,744,928,885,867
ENSG00000197880,Sgsh,lncRNA,1,23581495,23640574,+,211,411,168,585,367,753,236,318,213,154
ENSG00000007968,Chd5,protein_coding,1,23506438,23531233,-,8,14,11,20,12,19,8,18,9,15
ENSG00000235052,Cstb,lncRNA,1,23549139,23554388,-,3114,1437,2719,2382,1876,4353,1667,1502,1851,2305
ENSG00000142676,Sh2b2,protein_coding,1,23691685,23696835,+,108,226,177,344,202,390,66,76,123,127
ENSG00000179163,Pex5,protein_coding,1,23845077,23868356,-,503,989,822,1416,1138,1859,811,1027,691,735
ENSG00000188822,Jkamp,protein_coding,1,23870515,23913362,-,1421,691,824,947,797,1827,530,560,709,681
ENSG00000232557,Cd44,lncRNA,1,23907111,23907885,+,3010,5279,4354,6436,4555,10919,2744,3032,3761,3706
ENSG00000229106,Slc1a2,processed_pseudogene,1,23901471,23902737,-,9,22,16,22,36,47,8,10,1,3
ENSG00000299163,Eif2ak4,lncRNA,1,23948971,23959052,-,342,501,352,779,550,908,323,397,309,310
ENSG00000189266,Wdr1,protein_coding,1,23956839,23963776,+,5386,8034,7548,10478,7205,17394,5910,6769,6335,6234
ENSG00000230228,Slc2a9,transcribed_processed_pseudogene,1,23949016,23949383,-,54,80,59,117,100,224,137,158,93,66
ENSG00000236810,Ccn4,lncRNA,1,23706901,23778340,-,334,352,317,467,359,837,117,142,248,182
ENSG00000011007,Ndrg1,protein_coding,1,23743448,23762059,+,2105,2332,4808,4284,3474,11631,2664,3104,3099,3296
ENSG00000057757,4930550C14Rik,protein_coding,1,23778393,23788232,+,10,13,8,13,17,24,5,6,7,16
ENSG00000289835,Man2b1,lncRNA,1,23790609,23793751,-,2555,4021,3455,7335,3812,9057,1696,1981,2777,2804
ENSG00000011009,Klf5,protein_coding,1,23791110,23795544,+,12060,8563,10240,9971,6686,19566,11065,12789,8359,9685
ENSG00000117308,Wdr83,protein_coding,1,23795599,23800781,-,494,541,595,779,579,1286,526,511,460,642
ENSG00000117305,Prdx2,protein_coding,1,23801877,23838620,-,11621,5830,9755,11044,7261,20950,5730,5570,8215,10315
ENSG00000185436,Polr2a,protein_coding,1,24154168,24187959,-,3363,7286,5231,10037,6844,10620,3700,4255,3817,3586
ENSG00000142677,Senp3,protein_coding,1,24119771,24143165,-,1377,1707,2053,2780,2194,3986,1873,2105,1665,1885
ENSG00000188529,Corin,protein_coding,1,23964347,23980927,-,3,4,3,0,1,4,5,0,1,0
ENSG00000225315,Plekha8,lncRNA,1,23980431,24086799,+,423,741,481,1034,734,1266,518,570,468,505
ENSG00000215905,Spc25,processed_pseudogene,1,24007881,24008519,-,543,311,461,573,417,797,759,762,442,531
ENSG00000142661,Dnah2,protein_coding,1,24056035,24112190,-,22,30,42,50,45,122,59,66,15,22
ENSG00000230703,Ripk4,lncRNA,1,24066774,24083565,+,481,1044,956,1216,997,2307,584,755,681,687
ENSG00000286061,Ufd1,lncRNA,1,24496254,24556046,-,930,1028,1197,1570,1126,2521,1304,1368,941,1072
ENSG00000117602,Zfp287,protein_coding,1,24502340,24541040,+,98,101,58,144,100,226,51,72,52,46
ENSG00000184454,Prlr,protein_coding,1,24556076,24609328,+,17,13,5,14,8,30,20,11,3,13
ENSG00000227312,Letm1,processed_pseudogene,1,24563627,24563974,+,1804,2401,2293,3301,2157,4588,2572,3073,1730,2157
ENSG00000298126,Ubqln1,lncRNA,1,24596708,24600543,-,2934,5125,4046,6120,4712,9613,3536,4225,3722,3408
ENSG00000158055,Fgfr4,protein_coding,1,24199558,24364482,+,313,647,611,1068,357,918,1154,1360,409,597
ENSG00000230023,Cadm3,lncRNA,1,24200214,24221313,+,27,56,25,79,87,156,28,35,34,44
ENSG00000309961,Fcer1a,lncRNA,1,24254438,24254853,-,32,25,12,24,38,66,6,5,11,12
ENSG00000232298,Txn2,lncRNA,1,24307556,24321903,-,2566,2146,2731,3295,2010,7205,3007,3277,2309,3101
ENSG00000001460,Casp14,protein_coding,1,24355886,24416934,-,12,5,24,31,7,72,137,159,17,44
ENSG00000307212,Slc1a6,lncRNA,1,24413206,24413669,-,6,10,4,13,10,34,6,3,8,8
ENSG00000001461,Slc1a3,protein_coding,1,24413527,24476735,+,5,1,3,10,6,8,10,16,1,11
ENSG00000133226,Crbn,protein_coding,1,24631716,24673281,+,273,410,376,642,542,1003,316,414,351,311
ENSG00000307307,Il5ra,lncRNA,1,24662626,24722787,-,1,62,24,28,7,13,13,10,1,25
ENSG00000284699,Msh6,lncRNA,1,24704894,24717596,+,650,1176,585,1953,1270,2071,1043,1421,689,793
ENSG00000307325,Fbxo11,lncRNA,1,24720366,24731021,+,868,1723,1277,2312,1804,3073,981,1245,1175,1025
ENSG00000117614,Mlxipl,protein_coding,1,25222276,25232504,-,168,290,223,443,296,376,558,629,102,250
ENSG00000169504,Tbl2,protein_coding,1,24745342,24844321,+,462,812,647,1235,828,1551,758,995,532,546
ENSG00000238482,Bud23,snRNA,1,24777873,24777979,-,1044,831,1100,1435,930,2445,1172,1351,828,1145
ENSG00000293733,Nid1,lncRNA,1,24857305,24863526,+,1600,4141,2001,4149,4555,7452,739,808,2054,1300
ENSG00000204178,Mcm5,protein_coding,1,25430853,25500209,+,1638,1879,1560,3983,2013,4638,3445,4272,1316,1926
ENSG00000157978,Hmox1,protein_coding,1,25543573,25591200,+,1725,2466,4182,2487,4335,9264,470,560,3102,884
ENSG00000284657,Mprip,lncRNA,1,25232559,25258803,+,4145,6242,5279,9164,7212,12935,4650,5766,3884,4055
ENSG00000299599,Cic,lncRNA,1,25232589,25234775,-,1702,3104,2675,5995,2969,6217,2685,3561,1975,2233
ENSG00000117616,Pafah1b3,protein_coding,1,25242248,25338244,-,1704,844,1811,1586,1092,3071,1950,1975,1325,2064
ENSG00000272432,Il27ra,lncRNA,1,25247837,25248321,+,36,61,31,160,58,131,16,19,44,26
ENSG00000261349,Prkaca,unprocessed_pseudogene,1,25266102,25267136,-,1409,1673,1514,2314,1717,3686,1079,1292,1302,1513
ENSG00000187010,Asf1b,protein_coding,1,25272393,25330445,+,512,387,420,792,449,950,1036,1104,364,502
ENSG00000309241,Ddx39,lncRNA,1,25293427,25294339,-,2113,1984,2788,3202,2360,5025,4010,4398,1937,2853
ENSG00000259984,Dnajb1,unprocessed_pseudogene,1,25336429,25337465,-,1029,1442,1835,2430,1482,3683,1235,1370,1217,1685
ENSG00000183726,Msh4,protein_coding,1,25338295,25362362,+,1,6,3,7,5,8,9,6,0,0
ENSG00000188672,Usp40,protein_coding,1,25362249,25430192,-,385,650,414,1066,779,1351,353,446,401,385
ENSG00000224183,Evx1,transcribed_processed_pseudogene,1,25294164,25294643,-,1250,1519,1584,1936,1534,1626,741,967,1173,581
ENSG00000238084,Kbtbd4,processed_pseudogene,1,25398721,25399198,+,38,141,112,219,133,267,82,141,64,58
ENSG00000117643,Celf1,protein_coding,1,25616791,25786205,+,2796,4063,3119,5708,4385,7080,2887,3633,2890,2735
ENSG00000233478,Ndufs3,lncRNA,1,25644544,25659111,-,1735,1200,1881,2005,1336,3895,2231,2305,1386,1845
ENSG00000236528,Por,lncRNA,1,25859549,25868433,+,1848,4425,4298,4837,4042,7399,1850,2308,2157,2848
ENSG00000182749,Igf1r,protein_coding,1,25861484,25875874,-,1404,908,1037,1387,794,1241,783,935,670,679
ENSG00000162430,Insr,protein_coding,1,25800193,25818221,+,688,1179,835,1825,1238,2183,522,651,733,680
ENSG00000255054,Fcer2a,protein_coding,1,25811470,25823744,+,8,12,12,35,8,43,3,0,6,9
ENSG00000228172,Cyp2a5,lncRNA,1,25816742,25820797,-,0,0,0,0,1,1,0,0,3,1
ENSG00000117640,Atp4a,protein_coding,1,25818640,25832947,+,46,69,98,138,165,300,16,22,94,79
ENSG00000272478,Trim28,lncRNA,1,25831913,25832134,-,5611,8296,7133,12013,7875,16139,7198,8814,6241,6640
ENSG00000127423,Ube2m,protein_coding,1,25831913,25859458,-,3453,3566,4569,4390,3416,5397,3552,3993,3454,3853
ENSG00000282872,Adcy9,protein_coding,1,26164101,26168963,-,22,153,41,274,170,249,34,66,52,31
ENSG00000310101,Mef2c,lncRNA,1,25999297,26035856,-,276,202,159,319,233,437,60,70,211,134
ENSG00000252190,Ctr9,scaRNA,1,26006006,26006130,+,1656,2464,1643,2962,2336,4098,1712,2001,1606,1349
ENSG00000252691,Eif4g2,scaRNA,1,26006216,26006299,+,13966,25501,17790,32866,27510,46403,15773,20056,21081,14046
ENSG00000158008,Mrvi1,protein_coding,1,26019884,26036464,+,244,382,103,588,396,945,53,60,188,156
ENSG00000310112,Pcyt1a,lncRNA,1,26024928,26036663,-,135,907,436,1128,802,1471,501,692,471,385
ENSG00000175087,Zfp592,protein_coding,1,26111157,26125555,+,520,1114,710,1579,1113,1845,741,1068,656,666
ENSG00000309933,Psmd4,lncRNA,1,26118041,26126472,-,2705,2610,3405,4078,2953,6790,2874,3100,2840,3118
ENSG00000236782,Tmod4,protein_coding,1,26169516,26171832,-,25,23,14,23,22,32,22,30,6,21
ENSG00000142684,Insrr,protein_coding,1,26169908,26170873,+,5,6,4,17,9,21,9,6,8,22
ENSG00000142675,Snx6,protein_coding,1,26177476,26189884,+,2024,2023,2060,3140,2376,5355,1306,1423,1969,1973
ENSG00000117632,Mthfd2,protein_coding,1,25884181,25907237,-,455,506,764,841,530,977,683,781,378,573
ENSG00000229786,Kit,processed_pseudogene,1,25887360,25887610,+,141,335,245,664,463,1038,201,181,206,321
ENSG00000223624,Tomm40l,processed_pseudogene,1,25888970,25889109,+,52,194,189,373,265,530,181,289,161,173
ENSG00000294297,Nr1i3,lncRNA,1,25905670,25912933,+,0,3,1,5,0,7,5,3,3,3
ENSG00000294284,Apoa2,lncRNA,1,25910541,25954734,-,33,13,21,17,16,31,12,9,15,15
ENSG00000158006,Pan2,protein_coding,1,25959767,25999206,-,617,1081,802,1469,1185,1976,1098,1285,574,619
ENSG00000207237,Cs,snRNA,1,25964197,25964300,+,4718,7155,6469,8967,6265,13896,6554,7572,5166,6038
ENSG00000283938,Ampd3,miRNA,1,25906362,25906454,-,252,514,368,662,387,1066,457,519,285,371
ENSG00000236155,Bcas2,transcribed_unitary_pseudogene,1,26209741,26227840,+,2336,2021,2643,3356,2426,5240,2632,2765,1911,2368
ENSG00000293494,Sh2d1a,lncRNA,1,26216112,26229976,+,5,3,9,11,3,24,3,1,5,1
ENSG00000278572,Ctcf,unprocessed_pseudogene,1,26218581,26220476,-,1544,2733,1792,3411,2772,4649,1876,2397,2039,1595
ENSG00000306815,Pard6a,lncRNA,1,26223129,26234422,-,154,89,122,167,122,332,128,161,99,126
ENSG00000130695,Agrp,protein_coding,1,26233669,26278814,+,3,8,11,12,17,18,9,7,4,3
ENSG00000142669,Tfap4,protein_coding,1,26280057,26281522,+,346,561,524,922,552,1293,1028,1185,634,636
ENSG00000158062,Ranbp1,protein_coding,1,26281328,26318363,-,3618,1392,2346,2402,1557,4259,2925,2860,1769,2648
ENSG00000169442,Cd247,protein_coding,1,26317958,26320523,+,29,23,27,62,23,89,6,8,55,20
ENSG00000176092,Rfx5,protein_coding,1,26321698,26360080,-,152,560,263,888,583,745,167,211,291,201
ENSG00000225854,Psmb4,processed_pseudogene,1,26326688,26327033,+,5550,3240,5949,6381,4182,11044,5327,5147,4595,5914
ENSG00000176083,Mmp8,protein_coding,1,26361634,26374522,-,32,90,82,104,34,156,13,13,68,101
ENSG00000270733,Slc30a4,processed_pseudogene,1,26263041,26263398,-,420,786,725,1017,757,1744,554,682,579,561
ENSG00000301028,Sqor,lncRNA,1,26270792,26276858,-,1916,3911,2687,3221,1761,6697,3523,3900,1936,2958
ENSG00000224129,Bloc1s6,processed_pseudogene,1,26519354,26520250,-,593,722,617,860,670,1651,544,605,470,565
ENSG00000117676,Metap1,protein_coding,1,26529756,26575030,+,930,1804,1577,2518,1749,3942,1966,2286,1326,1534
ENSG00000238705,Gpr108,miRNA,1,26554542,26554593,+,1118,1631,1506,2267,1414,3640,1118,1358,1201,1372
ENSG00000243905,Tnfsf14,misc_RNA,1,26593243,26593546,-,42,56,39,91,42,92,10,16,34,46
ENSG00000252802,Gata6,misc_RNA,1,26593940,26594041,-,826,1124,1011,1629,1086,1995,1147,1374,824,1027
ENSG00000252429,Rsl1d1,snRNA,1,26602369,26602432,-,2133,2136,2479,2892,2355,4755,3204,3422,2105,2322
ENSG00000294798,Apc,lncRNA,1,26498209,26500730,-,1039,3037,1469,3840,3138,4198,1324,1753,1716,1090
ENSG00000131914,Reep5,protein_coding,1,26410817,26429728,+,1912,1403,1662,2220,1295,4027,987,982,1492,1689
ENSG00000225891,Ergic3,lncRNA,1,26429548,26473892,-,4686,3862,5407,6149,3772,11847,3063,3509,3922,4914
ENSG00000117682,Uqcc1,protein_coding,1,26432282,26471322,+,531,538,606,1022,621,1642,652,762,539,643
ENSG00000198830,Spo11,protein_coding,1,26472013,26478209,+,77,107,35,139,113,51,19,15,46,26
ENSG00000223583,Ncoa2,processed_pseudogene,1,26454653,26455187,-,477,1068,664,1499,1277,1781,561,655,670,458
ENSG00000290006,Nr2c2,lncRNA,1,26692586,26693046,+,134,397,139,664,554,545,177,268,195,91
ENSG00000117713,Nr2c1,protein_coding,1,26693236,26782104,+,433,506,459,739,652,1258,277,311,398,394
ENSG00000260063,Smpd4,lncRNA,1,26692132,26695943,-,633,883,729,1395,971,1669,1266,1505,539,686
ENSG00000303544,Pex1,lncRNA,1,26784963,26787929,-,235,276,229,401,355,492,317,318,171,141
ENSG00000060642,Kctd20,protein_coding,1,26787054,26800659,+,1012,1560,1244,2334,1690,3396,1063,1375,1177,1134
ENSG00000287810,Itgae,unprocessed_pseudogene,1,26817300,26817476,+,94,168,117,437,208,310,90,91,133,73
ENSG00000204160,Ctns,protein_coding,1,26826688,26857604,+,268,378,339,511,438,902,202,236,307,272
ENSG00000304862,P2rx5,lncRNA,1,26852218,26865135,-,9,19,3,23,9,24,8,8,8,12
ENSG00000175793,Shpk,protein_coding,1,26863149,26864456,+,91,121,108,185,113,257,119,150,88,66
ENSG00000253368,Trpv1,protein_coding,1,26993692,27001912,+,6,5,4,6,6,25,3,13,0,8
ENSG00000175707,Ephb3,protein_coding,1,26949556,26960788,-,712,1789,1758,3010,2193,4388,1472,1991,1326,1558
ENSG00000297103,Tuft1,lncRNA,1,26960493,26986374,+,509,1000,979,1270,885,1737,485,547,579,714
ENSG00000172746,Rcn1,unprocessed_pseudogene,1,26980165,26980975,+,368,549,389,939,612,1422,110,117,489,364
ENSG00000224064,Dnase1,transcribed_processed_pseudogene,1,26983628,26984024,+,21,25,31,79,57,83,26,37,24,18
ENSG00000225294,Trap1,processed_pseudogene,1,26985897,26986340,-,1369,1886,1843,3082,2123,5006,2356,2819,1393,1856
ENSG00000158246,Naa60,protein_coding,1,27005020,27012850,-,369,1131,816,1446,873,2396,752,908,670,758
ENSG00000226698,1700037C18Rik,lncRNA,1,26876133,26878245,+,119,77,104,115,89,184,106,107,93,97
ENSG00000142751,Ankrd13d,protein_coding,1,26876132,26890283,-,105,116,144,238,146,236,52,48,88,126
ENSG00000198746,Tpr,protein_coding,1,26890488,26900467,-,1553,3554,2598,5545,4017,6836,2490,3120,2069,2190
ENSG00000090273,Odr4,protein_coding,1,26900238,26946885,+,607,590,491,833,670,1220,494,557,492,505
ENSG00000131910,Prg4,protein_coding,1,26911489,26913975,-,17,13,18,19,23,30,19,20,6,22
ENSG00000289554,Dhx34,lncRNA,1,26881109,26882235,-,344,653,430,905,633,1160,327,416,392,320
ENSG00000090020,Kptn,protein_coding,1,27098809,27166981,-,276,337,343,482,355,682,230,259,285,270
ENSG00000298936,Napa,lncRNA,1,27157545,27160468,+,2446,2586,3166,3891,2716,6505,2361,2643,2242,2487
ENSG00000229985,Sra1,processed_pseudogene,1,27176751,27177277,+,1678,953,1675,1691,1226,3308,1256,1291,1178,1564
ENSG00000225990,Calcoco2,processed_pseudogene,1,27211265,27211484,+,0,2,0,1,1,8,4,6,0,0
ENSG00000214973,Atp5g1,processed_pseudogene,1,27200834,27201473,-,3863,2194,3538,3327,2142,5633,4005,4008,2361,3469
ENSG00000225159,Snf8,processed_pseudogene,1,27206930,27207796,+,1644,1135,1565,1713,1215,2536,1355,1402,1204,1517
ENSG00000224311,Tbcb,lncRNA,1,27229106,27234514,-,3091,1454,2433,2687,1820,4248,1887,1973,1900,2205
ENSG00000142784,Inpp5k,protein_coding,1,27233776,27308711,+,525,756,576,1004,775,1585,504,633,602,614
ENSG00000252098,Crkl,misc_RNA,1,27255464,27255567,-,643,1327,859,1856,1286,2390,741,924,928,746
ENSG00000142748,Upk3bl,protein_coding,1,27369108,27374854,-,15,13,13,13,10,19,6,9,7,5
ENSG00000142733,Eps8l1,protein_coding,1,27355180,27366972,-,277,499,294,593,511,1003,154,246,250,225
ENSG00000174950,Clint1,protein_coding,1,27379176,27383333,-,1345,4403,2482,5286,3076,6956,2524,3199,2544,2673
ENSG00000243659,Prss16,processed_pseudogene,1,27311240,27311838,+,102,98,98,160,112,296,34,28,86,88
ENSG00000186501,Cdkal1,protein_coding,1,27322139,27336401,+,291,322,295,454,339,875,323,369,276,269
ENSG00000304055,Htra1,lncRNA,1,27329633,27351197,-,7162,8206,7638,12047,9048,16582,1600,1782,6845,4963
ENSG00000142765,Zbtb17,protein_coding,1,27342009,27353937,+,684,779,876,1263,959,1784,724,949,671,811
ENSG00000206888,Clcnkb,snRNA,1,27325219,27325325,+,1,0,8,0,6,11,3,5,0,1
ENSG00000241547,Fam131c,processed_pseudogene,1,27325329,27325796,+,11,13,28,38,29,31,18,16,14,20
ENSG00000181773,Fblim1,protein_coding,1,27392622,27395814,+,2412,4436,2642,6077,4514,9839,1697,2133,3110,2757
ENSG00000158195,Hspb7,protein_coding,1,27404226,27490308,-,21,19,27,50,20,101,50,35,16,108
ENSG00000241169,Epor,lncRNA,1,27457198,27459582,+,20,27,13,32,39,41,6,12,15,17
ENSG00000000938,Ccdc159,protein_coding,1,27612064,27635565,-,30,37,26,48,50,75,11,21,14,24
ENSG00000301155,Mob1b,lncRNA,1,27504236,27505576,+,916,1571,1140,1913,1616,2699,1181,1333,1140,958
ENSG00000237429,Atp6v1b1,lncRNA,1,27522446,27534529,+,6,1,7,1,0,24,8,8,0,13
ENSG00000300499,Atp6v1b2,lncRNA,1,27528998,27529371,-,1965,3370,2869,4479,3796,7783,1910,2270,2655,2235
ENSG00000126705,Eps15l1,protein_coding,1,27534035,27604431,-,997,1501,1344,2365,1638,3289,1099,1309,1064,974
ENSG00000300470,Tep1,lncRNA,1,27542481,27556611,+,490,1104,582,1776,1030,2077,818,1015,528,579
ENSG00000310432,Ttc5,lncRNA,1,27645073,27649775,+,658,691,881,1299,1046,2327,746,813,744,806
ENSG00000235912,Osgep,transcribed_processed_pseudogene,1,27649419,27649610,+,923,597,906,1167,852,1969,655,732,763,833
ENSG00000233975,Aamp,lncRNA,1,27660327,27666279,-,2641,2617,3188,4136,2792,6298,2278,2580,2484,3071
ENSG00000126709,Tmbim1,protein_coding,1,27666064,27672212,-,3003,3899,3939,4609,3370,8784,3222,3488,3041,3725
ENSG00000294734,Arpc2,lncRNA,1,27666073,27666312,+,8625,7901,10078,10903,6827,17884,8052,8240,6746,9319
ENSG00000225886,Kmt2b,lncRNA,1,27669468,27703063,+,942,2197,1439,3500,2713,3569,1257,1852,1201,1215
ENSG00000206767,Zbtb32,snRNA,1,27675603,27675709,-,26,42,17,60,46,92,37,47,20,22
ENSG00000226662,Upk1a,processed_pseudogene,1,27686810,27687471,-,16,19,21,30,15,30,48,55,10,43
ENSG00000207095,Tmem147,snRNA,1,27693731,27693835,+,1915,1165,1744,2033,1492,3880,2072,2104,1396,1805
ENSG00000009780,Rps9,protein_coding,1,27725961,27763116,+,31822,12724,29047,26803,20868,53359,28438,27414,21092,28544
ENSG00000230833,Tfpt,processed_pseudogene,1,27739954,27740629,+,400,340,496,526,388,760,439,475,331,420
ENSG00000231344,Susd2,processed_pseudogene,1,27739091,27739439,+,332,500,330,867,527,1097,110,91,334,291
ENSG00000117758,Ggt5,protein_coding,1,27773195,27824443,+,543,728,446,919,774,1431,83,111,425,261
ENSG00000269971,Ggt1,lncRNA,1,27773858,27774041,+,57,130,91,132,78,229,32,27,76,87
ENSG00000270031,Crip2,lncRNA,1,27819983,27820341,+,1354,1537,1394,1822,1203,4037,871,903,871,1347
ENSG00000130775,Crip1,protein_coding,1,27872543,27886685,+,3316,1885,3260,2347,1586,4271,5119,4799,1874,3531
ENSG00000286433,Cbfa2t3,lncRNA,1,27827812,27831209,-,473,411,410,842,354,921,302,407,271,484
ENSG00000117751,Fbln1,protein_coding,1,27830782,27851676,+,1729,1905,1625,3050,1270,4408,1080,1168,1504,2677
ENSG00000252947,Pgrmc1,scaRNA,1,27834401,27834566,+,1247,1508,1678,2512,1920,3987,1378,1481,1445,1510
ENSG00000309988,Gcat,lncRNA,1,27848032,27863362,-,107,43,58,70,53,116,62,63,43,77
ENSG00000117748,Tek,protein_coding,1,27891524,27914746,-,81,165,83,237,149,323,33,39,108,104
ENSG00000130768,Elovl1,protein_coding,1,27935000,27959157,+,1503,1917,1850,2455,1520,4213,2033,2199,1411,1809
ENSG00000227050,Med8,lncRNA,1,27938875,27960193,-,1029,826,976,1197,898,1907,1087,1127,778,963
ENSG00000158156,Hyi,protein_coding,1,27959588,27968093,+,388,280,305,424,289,461,318,349,206,328
ENSG00000158161,Cdc20,protein_coding,1,27970344,28088731,-,1248,1283,1611,1792,1651,2417,2150,2540,1773,1928
ENSG00000238231,Adamts4,processed_pseudogene,1,27990158,27990524,-,166,684,375,1108,952,1980,138,170,361,314
